Species,chao,chao.se,jack1,jack1.se,jack2,boot,boot.se,n
291,540.4083333333333,53.090999886415716,449.58333333333337,78.74559070548366,552.0833333333334,359.1582209395224,46.08790312835527,12
471,925.0202625570777,80.08060368596365,723.0416666666666,81.635102318522,900.1177536231884,577.2535285094337,46.02154453176915,24
656,1567.1570247933882,135.10019762817407,1037.8181818181818,167.6463219286315,1316.6545454545455,814.7754428671255,85.3850564554534,11
834,1498.7858823529411,89.37297630052934,1250.6399999999999,116.0247146085695,1530.0133333333333,1011.1091291908018,62.21744710603315,25
853,1457.7208473154362,80.42804159218493,1273.0625,109.93150684820374,1544.4339539007092,1032.2192217391987,63.22058003817986,48
796,1526.3553628389154,97.80687702227007,1229.2894736842104,104.84370705286635,1529.1955903271694,977.3416609287921,55.69643322311935,38
968,1658.6143279797125,86.10580172333344,1445.357142857143,140.08820714932762,1754.0447154471544,1171.261968219454,79.50785147244933,42
621,1214.4067924528301,88.35360978389627,968.52,103.56920005484255,1208.1033333333332,767.0614333131779,54.450997957312694,25
846,1469.1165644171779,79.88407254443256,1287.6,112.26083912032726,1567.0883333333334,1036.2655190344656,56.89620824556647,25
1028,1947.1552841475573,107.3726651737879,1589.9705882352941,134.0863450313843,1973.3716577540108,1264.7024245114037,68.50866640838933,34
938,1727.637250275287,97.30008367222192,1438.8205128205127,126.2280373876905,1775.890013495277,1149.7918880371735,70.58506208574582,39
